Zimmerzahl;Stockwerk;Hausmeister;Kindergarten;Schule;S-Bahn;Garage;Miete;Nebenkosten;Alter;Aufzug;Entfernung zur Stadtmitte;Kaution;Kueche;Bad;Balkon;Terrasse;Kehrwoche;Moebliert;Quadratmeter;Studierende;Kleinfamilie;DINK;SingleHighIncome;Expatriate;Rentnerpaar
4 Zimmer;2.Stock;nein;erreichbar;nah;nah;ja;601-650;201-250;51-75 Jahre;ja;11-20 km;keine;Kueche (neu);Dusche;ja;nein;nein;nein;91-100;nein;ja;nein;nein;nein;nein
3 Zimmer;2.Stock;nein;erreichbar;fern;nah;nein;501-550;101-150;ueber 100;ja;5-10 km;1000-1500;Kueche (alt);Badewanne;ja;nein;nein;nein;71-80;nein;nein;nein;nein;nein;nein
4-5 Zimmer;3.Stock;nein;erreichbar;erreichbar;nah;nein;651-700;251-300;11-15 Jahre;ja;< 3 km;keine;keine;Dusche;ja;nein;nein;nein;111-120;nein;nein;nein;nein;nein;nein
Ein Zimmer;EG;nein;fern;erreichbar;erreichbar;ja;351-400;50-100;4-7 Jahre;nein;> 30 km;keine;Kueche (neu);Dusche + Wanne;ja;nein;nein;nein;20-30;nein;nein;nein;nein;nein;nein
4-5 Zimmer;1.Stock;nein;fern;nah;nah;nein;651-700;201-250;Neubau;nein;11-20 km;keine;Kueche (alt);Dusche;nein;nein;nein;teilmoebliert;101-110;nein;nein;nein;nein;nein;nein
Zwei Zimmer;5.Stock;ja;fern;erreichbar;nah;nein;351-400;50-100;1-3 Jahre;ja;< 3 km;keine;Kueche (alt);Badewanne;nein;nein;nein;nein;41-50;nein;nein;nein;nein;nein;nein
5-6 Zimmer;1.Stock;nein;fern;nah;mit Bus;nein;801-850;ueber 300;16-20 Jahre;ja;21-30 km;ueber 3000;Kueche (alt);Dusche + Wanne;nein;nein;nein;teilmoebliert;ueber 120;nein;nein;nein;nein;nein;nein
5-6 Zimmer;3.Stock;ja;fern;fern;nah;ja;751-800;251-300;21-30 Jahre;ja;< 3 km;ueber 3000;Kueche (neu);Badewanne;ja;nein;ja;nein;111-120;nein;nein;nein;nein;nein;nein
4-5 Zimmer;1.Stock;nein;erreichbar;erreichbar;nah;nein;701-750;251-300;7-10 Jahre;nein;11-20 km;keine;Kueche (alt);Dusche + Wanne;nein;nein;nein;teilmoebliert;101-110;nein;nein;nein;nein;nein;nein
5-6 Zimmer;EG;nein;fern;nah;erreichbar;nein;701-750;251-300;16-20 Jahre;nein;Zentrum;keine;Kueche (alt);Dusche + Wanne;nein;nein;nein;nein;111-120;nein;nein;nein;nein;nein;nein
3-4 Zimmer;2.Stock;nein;erreichbar;nah;erreichbar;nein;501-550;151-200;51-75 Jahre;nein;5-10 km;ueber 3000;Kueche (alt);Badewanne;ja;nein;nein;nein;71-80;nein;ja;nein;nein;nein;nein
5-6 Zimmer;2.Stock;nein;fern;nah;nein;ja;801-850;251-300;4-7 Jahre;nein;Zentrum;ueber 3000;Kueche (alt);Dusche;ja;nein;nein;nein;ueber 120;nein;nein;nein;nein;nein;nein
Zwei Zimmer;3.Stock;nein;fern;nah;erreichbar;nein;351-400;50-100;51-75 Jahre;nein;< 3 km;keine;Kueche (alt);Dusche + Wanne;ja;nein;nein;teilmoebliert;41-50;nein;nein;nein;nein;nein;nein
4 Zimmer;4.Stock;nein;nah;erreichbar;erreichbar;ja;551-600;201-250;51-75 Jahre;ja;< 3 km;ueber 3000;keine;Dusche + Wanne;ja;nein;ja;teilmoebliert;81-90;nein;nein;nein;nein;nein;nein
Ein Zimmer;EG;ja;nah;nah;erreichbar;ja;251-300;50-100;76-100 Jahre;nein;21-30 km;keine;Kueche (alt);Dusche + Wanne;nein;nein;nein;nein;20-30;ja;nein;nein;nein;nein;nein
Zwei Zimmer;EG;nein;fern;erreichbar;mit Bus;nein;351-400;50-100;11-15 Jahre;nein;21-30 km;keine;Kueche (alt);Dusche + Wanne;nein;nein;nein;nein;41-50;nein;nein;nein;nein;nein;nein
